label,n,pct,panel,rule
press-stud(s),2438,0.41308031175872584,b,R1
hook-and-eye,1286,0.21789223991867163,b,R1
hook(s),777,0.13165028803795323,b,R1
button and hook,518,0.08776685869196882,b,R1
metal buttons,418,0.07082344967807523,b,R1
plastic snap(s),68,0.4927536231884058,c,R2
plastic fastener,43,0.3115942028985507,c,R2
plastic buckle(s),25,0.18115942028985507,c,R2
plastic fasteners,2,0.014492753623188406,c,R2
zip,8589,0.8355871193695885,d,R3
fastener,803,0.0781204397314914,d,R3
fasteners,391,0.0380387197198171,d,R3
buckle,139,0.013522716217530888,d,R3
zipped,97,0.009436715633816518,d,R3
