label,n,pct,panel,rule
drawstring / drawcord,4732,0.5011650074136835,b,R4
patch(es),1440,0.15251006142766363,b,R4
embroidery,812,0.08599872908282144,b,R4
elastic-related,799,0.08462190213937724,b,R4
lace,667,0.07064181317517475,b,R4
sequin(s),293,0.3100529100529101,c,R5
bead(s),234,0.24761904761904763,c,R5
rhinestone(s),141,0.1492063492063492,c,R5
embellished,118,0.12486772486772486,c,R5
fringe,53,0.056084656084656084,c,R5
coating-related,725,0.4938692098092643,d,R6
water-repellent,356,0.24250681198910082,d,R6
bonded,136,0.09264305177111716,d,R6
waterproof,81,0.055177111716621256,d,R6
taped seams,60,0.04087193460490463,d,R6
lining,8246,0.7551282051282051,e,R7
lined,1767,0.16181318681318682,e,R7
inner layer,272,0.02490842490842491,e,R7
hood lining,233,0.021336996336996338,e,R7
cup lining,161,0.014743589743589743,e,R7
pocket lining,4291,0.837431693989071,f,R8
top panel,219,0.04274004683840749,f,R8
mesh,185,0.03610460577673692,f,R8
bottom panel,118,0.02302888368462139,f,R8
front panel,102,0.01990632318501171,f,R8
