rule,setting,parent_category,detail_category,n
R1,conservative,bottoms,trousers,674
R1,conservative,overall,dresses,421
R1,conservative,underwear,bras_lingerie,405
R1,conservative,bottoms,skirts,340
R1,conservative,tops,sweater_cardigan,167
R1,conservative,tops,outerwear_jacket,144
R1,conservative,tops,outerwear_gilet,81
R1,conservative,bottoms,shorts,77
R1,conservative,underwear,swimwear,62
R1,conservative,tops,shirt_blouse,52
R1,conservative,tops,tank_camisole_vest,38
R1,conservative,tops,outerwear_coat,28
R1,conservative,overall,jumpsuits_overalls,27
R1,conservative,bottoms,jeans,25
R1,conservative,tops,sweatshirt_hoodie,21
R1,conservative,tops,top_generic,18
R1,conservative,underwear,underwear_bottoms,12
R1,conservative,overall,set,10
R1,conservative,tops,tshirt_polo,5
R1,conservative,bottoms,joggers,4
R1,conservative,bottoms,leggings,1
R1,conservative,overall,sleepwear_homewear,1
R1,default,bottoms,trousers,1215
R1,default,tops,outerwear_jacket,816
R1,default,overall,dresses,566
R1,default,underwear,bras_lingerie,454
R1,default,bottoms,skirts,434
R1,default,underwear,underwear_bottoms,381
R1,default,bottoms,jeans,272
R1,default,overall,set,234
R1,default,tops,sweater_cardigan,227
R1,default,underwear,swimwear,197
R1,default,bottoms,shorts,182
R1,default,tops,shirt_blouse,147
R1,default,tops,outerwear_gilet,135
R1,default,overall,jumpsuits_overalls,126
R1,default,tops,outerwear_coat,124
R1,default,overall,sleepwear_homewear,103
R1,default,tops,sweatshirt_hoodie,99
R1,default,tops,tshirt_polo,91
R1,default,tops,top_generic,41
R1,default,tops,tank_camisole_vest,40
R1,default,bottoms,joggers,15
R1,default,bottoms,leggings,2
R1,default,underwear,socks_hosiery,1
R1,expanded,bottoms,trousers,1217
R1,expanded,tops,outerwear_jacket,816
R1,expanded,overall,dresses,577
R1,expanded,underwear,bras_lingerie,454
R1,expanded,bottoms,skirts,435
R1,expanded,underwear,underwear_bottoms,381
R1,expanded,bottoms,jeans,275
R1,expanded,overall,set,234
R1,expanded,tops,sweater_cardigan,229
R1,expanded,underwear,swimwear,210
R1,expanded,bottoms,shorts,182
R1,expanded,tops,shirt_blouse,147
R1,expanded,tops,outerwear_gilet,135
R1,expanded,overall,jumpsuits_overalls,126
R1,expanded,tops,outerwear_coat,124
R1,expanded,overall,sleepwear_homewear,103
R1,expanded,tops,sweatshirt_hoodie,99
R1,expanded,tops,tshirt_polo,93
R1,expanded,tops,top_generic,43
R1,expanded,tops,tank_camisole_vest,40
R1,expanded,bottoms,joggers,15
R1,expanded,bottoms,leggings,2
R1,expanded,underwear,socks_hosiery,1
R2,conservative,overall,dresses,27
R2,conservative,underwear,underwear_bottoms,25
