row_id,rule,setting,field,match,r3_evidence_type,parent_category,detail_category
1,R7_presence,conservative,component_names_text,lining,,tops,outerwear_jacket
1,R7b_hidden_layer_mismatch,conservative,surface_hidden_logic,shell[cotton]__lining[polyester],,tops,outerwear_jacket
1,R8_presence,conservative,component_names_text,pocket_lining,,tops,outerwear_jacket
1,R8b_secondary_material_difference,conservative,surface_secondary_logic,shell[cotton]__pocket_lining[polyester],,tops,outerwear_jacket
1,R7_presence,default,component_names_text,lining,,tops,outerwear_jacket
1,R7b_hidden_layer_mismatch,default,surface_hidden_logic,shell[cotton+elastane]__lining[polyester],,tops,outerwear_jacket
1,R8_presence,default,component_names_text,pocket_lining,,tops,outerwear_jacket
1,R8b_secondary_material_difference,default,surface_secondary_logic,shell[cotton+elastane]__pocket_lining[polyester],,tops,outerwear_jacket
1,R7_presence,expanded,component_names_text,lining,,tops,outerwear_jacket
1,R7b_hidden_layer_mismatch,expanded,surface_hidden_logic,shell[cotton+elastane]__lining[polyester],,tops,outerwear_jacket
1,R8_presence,expanded,component_names_text,pocket_lining,,tops,outerwear_jacket
1,R8b_secondary_material_difference,expanded,surface_secondary_logic,shell__pocket_lining,,tops,outerwear_jacket
2,R7_presence,conservative,component_names_text,lining,,tops,outerwear_jacket
2,R7b_hidden_layer_mismatch,conservative,surface_hidden_logic,shell[cotton]__lining[polyester],,tops,outerwear_jacket
2,R8_presence,conservative,component_names_text,pocket_lining,,tops,outerwear_jacket
2,R8b_secondary_material_difference,conservative,surface_secondary_logic,shell[cotton]__pocket_lining[polyester],,tops,outerwear_jacket
2,R7_presence,default,component_names_text,lining,,tops,outerwear_jacket
2,R7b_hidden_layer_mismatch,default,surface_hidden_logic,shell[cotton+elastane]__lining[polyester],,tops,outerwear_jacket
2,R8_presence,default,component_names_text,pocket_lining,,tops,outerwear_jacket
2,R8b_secondary_material_difference,default,surface_secondary_logic,shell[cotton+elastane]__pocket_lining[polyester],,tops,outerwear_jacket
2,R7_presence,expanded,component_names_text,lining,,tops,outerwear_jacket
2,R7b_hidden_layer_mismatch,expanded,surface_hidden_logic,shell[cotton+elastane]__lining[polyester],,tops,outerwear_jacket
2,R8_presence,expanded,component_names_text,pocket_lining,,tops,outerwear_jacket
2,R8b_secondary_material_difference,expanded,surface_secondary_logic,shell__pocket_lining,,tops,outerwear_jacket
3,R7_presence,conservative,component_names_text,lining,,tops,outerwear_jacket
3,R7b_hidden_layer_mismatch,conservative,surface_hidden_logic,shell[cotton]__lining[polyester],,tops,outerwear_jacket
3,R8_presence,conservative,component_names_text,pocket_lining,,tops,outerwear_jacket
3,R8b_secondary_material_difference,conservative,surface_secondary_logic,shell[cotton]__pocket_lining[polyester],,tops,outerwear_jacket
3,R7_presence,default,component_names_text,lining,,tops,outerwear_jacket
3,R7b_hidden_layer_mismatch,default,surface_hidden_logic,shell[cotton+elastane]__lining[polyester],,tops,outerwear_jacket
3,R8_presence,default,component_names_text,pocket_lining,,tops,outerwear_jacket
3,R8b_secondary_material_difference,default,surface_secondary_logic,shell[cotton+elastane]__pocket_lining[polyester],,tops,outerwear_jacket
3,R7_presence,expanded,component_names_text,lining,,tops,outerwear_jacket
3,R7b_hidden_layer_mismatch,expanded,surface_hidden_logic,shell[cotton+elastane]__lining[polyester],,tops,outerwear_jacket
3,R8_presence,expanded,component_names_text,pocket_lining,,tops,outerwear_jacket
3,R8b_secondary_material_difference,expanded,surface_secondary_logic,shell__pocket_lining,,tops,outerwear_jacket
4,R3,conservative,product_name,zip,explicit_text,tops,outerwear_jacket
4,R8_presence,conservative,component_names_text,pocket_lining,,tops,outerwear_jacket
4,R8b_secondary_material_difference,conservative,surface_secondary_logic,body[cotton]__pocket_lining[polyester],,tops,outerwear_jacket
4,R3,default,product_name,zip,explicit_text,tops,outerwear_jacket
4,R8_presence,default,component_names_text,pocket_lining,,tops,outerwear_jacket
4,R8b_secondary_material_difference,default,surface_secondary_logic,body[cotton+elastane]__pocket_lining[polyester],,tops,outerwear_jacket
4,R3,expanded,product_name,zip,explicit_text,tops,outerwear_jacket
4,R8_presence,expanded,component_names_text,pocket_lining,,tops,outerwear_jacket
4,R8b_secondary_material_difference,expanded,surface_secondary_logic,body__pocket_lining,,tops,outerwear_jacket
5,R3,conservative,product_name,zip,explicit_text,tops,outerwear_jacket
5,R8_presence,conservative,component_names_text,pocket_lining,,tops,outerwear_jacket
5,R8b_secondary_material_difference,conservative,surface_secondary_logic,body[cotton]__pocket_lining[polyester],,tops,outerwear_jacket
5,R3,default,product_name,zip,explicit_text,tops,outerwear_jacket
5,R8_presence,default,component_names_text,pocket_lining,,tops,outerwear_jacket
5,R8b_secondary_material_difference,default,surface_secondary_logic,body[cotton+elastane]__pocket_lining[polyester],,tops,outerwear_jacket
5,R3,expanded,product_name,zip,explicit_text,tops,outerwear_jacket
5,R8_presence,expanded,component_names_text,pocket_lining,,tops,outerwear_jacket
5,R8b_secondary_material_difference,expanded,surface_secondary_logic,body__pocket_lining,,tops,outerwear_jacket
6,R3,conservative,product_name,zip,explicit_text,tops,outerwear_jacket
6,R8_presence,conservative,component_names_text,pocket_lining,,tops,outerwear_jacket
6,R8b_secondary_material_difference,conservative,surface_secondary_logic,body[cotton]__pocket_lining[polyester],,tops,outerwear_jacket
6,R3,default,product_name,zip,explicit_text,tops,outerwear_jacket
6,R8_presence,default,component_names_text,pocket_lining,,tops,outerwear_jacket
6,R8b_secondary_material_difference,default,surface_secondary_logic,body[cotton]__pocket_lining[polyester],,tops,outerwear_jacket
6,R3,expanded,product_name,zip,explicit_text,tops,outerwear_jacket
6,R8_presence,expanded,component_names_text,pocket_lining,,tops,outerwear_jacket
6,R8b_secondary_material_difference,expanded,surface_secondary_logic,body__pocket_lining,,tops,outerwear_jacket
7,R3,conservative,product_name,zip,explicit_text,tops,outerwear_jacket
7,R8_presence,conservative,component_names_text,pocket_lining,,tops,outerwear_jacket
7,R8b_secondary_material_difference,conservative,surface_secondary_logic,body[cotton]__pocket_lining[polyester],,tops,outerwear_jacket
7,R3,default,product_name,zip,explicit_text,tops,outerwear_jacket
7,R8_presence,default,component_names_text,pocket_lining,,tops,outerwear_jacket
7,R8b_secondary_material_difference,default,surface_secondary_logic,body[cotton]__pocket_lining[polyester],,tops,outerwear_jacket
7,R3,expanded,product_name,zip,explicit_text,tops,outerwear_jacket
7,R8_presence,expanded,component_names_text,pocket_lining,,tops,outerwear_jacket
7,R8b_secondary_material_difference,expanded,surface_secondary_logic,body__pocket_lining,,tops,outerwear_jacket
8,R8_presence,conservative,component_names_text,pocket_lining,,tops,outerwear_jacket
8,R8b_secondary_material_difference,conservative,surface_secondary_logic,body[cotton]__pocket_lining[polyester],,tops,outerwear_jacket
8,R8_presence,default,component_names_text,pocket_lining,,tops,outerwear_jacket
8,R8b_secondary_material_difference,default,surface_secondary_logic,body[cotton+elastane+nylon]__pocket_lining[polyester],,tops,outerwear_jacket
8,R8_presence,expanded,component_names_text,pocket_lining,,tops,outerwear_jacket
8,R8b_secondary_material_difference,expanded,surface_secondary_logic,body__pocket_lining,,tops,outerwear_jacket
9,R8_presence,conservative,component_names_text,pocket_lining,,tops,outerwear_jacket
9,R8b_secondary_material_difference,conservative,surface_secondary_logic,body[cotton]__pocket_lining[polyester],,tops,outerwear_jacket
9,R8_presence,default,component_names_text,pocket_lining,,tops,outerwear_jacket
9,R8b_secondary_material_difference,default,surface_secondary_logic,body[cotton+elastane+nylon]__pocket_lining[polyester],,tops,outerwear_jacket
9,R8_presence,expanded,component_names_text,pocket_lining,,tops,outerwear_jacket
9,R8b_secondary_material_difference,expanded,surface_secondary_logic,body__pocket_lining,,tops,outerwear_jacket
10,R8_presence,conservative,component_names_text,pocket_lining,,tops,outerwear_jacket
10,R8b_secondary_material_difference,conservative,surface_secondary_logic,body[cotton]__pocket_lining[polyester],,tops,outerwear_jacket
10,R8_presence,default,component_names_text,pocket_lining,,tops,outerwear_jacket
10,R8b_secondary_material_difference,default,surface_secondary_logic,body[cotton+elastane+nylon]__pocket_lining[polyester],,tops,outerwear_jacket
10,R8_presence,expanded,component_names_text,pocket_lining,,tops,outerwear_jacket
10,R8b_secondary_material_difference,expanded,surface_secondary_logic,body__pocket_lining,,tops,outerwear_jacket
11,R8_presence,conservative,component_names_text,pocket_lining,,tops,outerwear_jacket
11,R8b_secondary_material_difference,conservative,surface_secondary_logic,body[cotton]__pocket_lining[polyester],,tops,outerwear_jacket
11,R8_presence,default,component_names_text,pocket_lining,,tops,outerwear_jacket
11,R8b_secondary_material_difference,default,surface_secondary_logic,body[cotton+elastane+nylon]__pocket_lining[polyester],,tops,outerwear_jacket
11,R8_presence,expanded,component_names_text,pocket_lining,,tops,outerwear_jacket
11,R8b_secondary_material_difference,expanded,surface_secondary_logic,body__pocket_lining,,tops,outerwear_jacket
12,R4,conservative,raw_description_text,patch,,tops,outerwear_jacket
12,R7_presence,conservative,component_names_text,lining,,tops,outerwear_jacket
12,R8_presence,conservative,component_names_text,pocket_lining,,tops,outerwear_jacket
12,R4,default,raw_description_text,patch,,tops,outerwear_jacket
12,R7_presence,default,component_names_text,lining,,tops,outerwear_jacket
12,R8_presence,default,component_names_text,pocket_lining,,tops,outerwear_jacket
12,R4,expanded,raw_description_text,patch,,tops,outerwear_jacket
12,R7_presence,expanded,component_names_text,lining,,tops,outerwear_jacket
