metric,n_total,n_flagged,share_flagged,n_not_flagged,share_not_flagged
any_disruptor_overall_conservative,47522,23246,0.48916291401877027,24276,0.5108370859812298
any_disruptor_overall_default,47522,26182,0.55094482555448,21340,0.44905517444551996
any_disruptor_overall_expanded,47522,33053,0.6955304911409452,14469,0.30446950885905477
any_removable_disruptor_conservative,47522,10211,0.2148689028239552,37311,0.7851310971760448
any_removable_disruptor_default,47522,12922,0.2719161651445646,34600,0.7280838348554354
any_removable_disruptor_expanded,47522,20140,0.4238037119649846,27382,0.5761962880350153
any_retained_barrier_conservative,47522,18943,0.3986153781406506,28579,0.6013846218593494
any_retained_barrier_default,47522,21356,0.4493918606119271,26166,0.5506081393880728
any_retained_barrier_expanded,47522,24968,0.5253987626783384,22554,0.47460123732166154
r1_metal_hardware_conservative,47522,2613,0.054985059551365685,44909,0.9450149404486343
r1_metal_hardware_default,47522,5902,0.12419510963343294,41620,0.8758048903665671
r1_metal_hardware_expanded,47522,5938,0.124952653507849,41584,0.875047346492151
r2_plastic_hardware_conservative,47522,138,0.002903918185261563,47384,0.9970960818147384
r2_plastic_hardware_default,47522,138,0.002903918185261563,47384,0.9970960818147384
r2_plastic_hardware_expanded,47522,138,0.002903918185261563,47384,0.9970960818147384
r3_mixed_hardware_conservative,47522,9085,0.1911746138630529,38437,0.8088253861369471
r3_mixed_hardware_default,47522,10279,0.21629981903118556,37243,0.7837001809688144
r3_mixed_hardware_expanded,47522,18103,0.3809393544042759,29419,0.619060645595724
r4_fabric_attached_trim_conservative,47522,8180,0.17213080257564917,39342,0.8278691974243508
r4_fabric_attached_trim_default,47522,9442,0.19868692395101217,38080,0.8013130760489878
r4_fabric_attached_trim_expanded,47522,14396,0.3029333782248222,33126,0.6970666217751779
r5_decorative_nontextile_conservative,47522,548,0.011531501199444467,46974,0.9884684988005555
r5_decorative_nontextile_default,47522,945,0.01988552670342157,46577,0.9801144732965784
r5_decorative_nontextile_expanded,47522,945,0.01988552670342157,46577,0.9801144732965784
r6_surface_print_coating_conservative,47522,944,0.01986448381802113,46578,0.9801355161819789
r6_surface_print_coating_default,47522,1468,0.03089095576785489,46054,0.9691090442321452
r6_surface_print_coating_expanded,47522,2006,0.04221202811329489,45516,0.9577879718867051
r7_lining_multilayer_conservative,47522,8976,0.18888093935440428,38546,0.8111190606455957
r7_lining_multilayer_default,47522,10920,0.22978830857287152,36602,0.7702116914271285
r7_lining_multilayer_expanded,47522,11605,0.2442026850721771,35917,0.7557973149278229
r7b_hidden_layer_mismatch_conservative,47522,4090,0.08606540128782458,43432,0.9139345987121754
r7b_hidden_layer_mismatch_default,47522,3878,0.08160430958293001,43644,0.91839569041707
r7b_hidden_layer_mismatch_expanded,47522,3878,0.08160430958293001,43644,0.91839569041707
r8_secondary_component_presence_conservative,47522,5124,0.10782374479188586,42398,0.8921762552081142
r8_secondary_component_presence_default,47522,5124,0.10782374479188586,42398,0.8921762552081142
r8_secondary_component_presence_expanded,47522,5535,0.11647237069146922,41987,0.8835276293085308
r8b_secondary_material_difference_conservative,47522,2904,0.0611085392028955,44618,0.9388914607971045
r8b_secondary_material_difference_default,47522,2798,0.058877993350448216,44724,0.9411220066495518
r8b_secondary_material_difference_expanded,47522,4949,0.1041412398468078,42573,0.8958587601531922
