group_name,rule_type,n_patterns,pretty_patterns_joined,raw_patterns_joined
PAT_R1_METAL_CONSERVATIVE,include,28,metal zip ; metal zipper ; metal buckle ; metal button ; metal snap ; metal press stud ; metal hook ; metal clasp ; metal ring ; metal trim ; metal hardware ; metal fastener ; zip in metal ; zipper in metal ; buckle in metal ; button in metal ; snap in metal ; press stud in metal ; hook in metal ; clasp in metal ; ring in metal ; fastener in metal ; rivet ; eyelet ; grommet ; underwire ; hook-and-eye fastener ; button-and-hook closure,\bmetal[- ]zip\b ; \bmetal[- ]zipper(?:s)?\b ; \bmetal[- ]buckle(?:s)?\b ; \bmetal[- ]button(?:s)?\b ; \bmetal[- ]snap(?:s)?\b ; \bmetal[- ]press[- ]stud(?:s)?\b ; \bmetal[- ]hook(?:s)?\b ; \bmetal[- ]clasp(?:s)?\b ; \bmetal[- ]ring(?:s)?\b ; \bmetal[- ]trim\b ; \bmetal[- ]hardware\b ; \bmetal[- ]fastener(?:s)?\b ; \bzip\s+(?:in\s+)?metal\b ; \bzipper(?:s)?\s+(?:in\s+)?metal\b ; \bbuckle(?:s)?\s+(?:in\s+)?metal\b ; \bbutton(?:s)?\s+(?:in\s+)?metal\b ; \bsnap(?:s)?\s+(?:in\s+)?metal\b ; \bpress[- ]stud(?:s)?\s+(?:in\s+)?metal\b ; \bhook(?:s)?\s+(?:in\s+)?metal\b ; \bclasp(?:s)?\s+(?:in\s+)?metal\b ; \bring(?:s)?\s+(?:in\s+)?metal\b ; \bfastener(?:s)?\s+(?:in\s+)?metal\b ; \brivet(?:s)?\b ; \beyelet(?:s)?\b ; \bgrommet(?:s)?\b ; \bunderwire\b ; \bhook[- ]and[- ]eye\b ; \bbutton[- ]and[- ]hook\b
PAT_R1_METAL_DEFAULT_EXTRA,include,5,press stud ; stud or studded detail ; clasp ; charm ; hook,\bpress[- ]stud(?:s)?\b ; \bstud(?:s|ded)?\b ; \bclasp(?:s)?\b ; \bcharm(?:s)?\b ; \bhook(?:s)?\b
PAT_R1_METAL_EXPANDED_EXTRA,include,2,carabiner ; ring,\bcarabiner(?:s)?\b ; \bring(?:s)?\b
PAT_R1_METAL_EXCLUDE,exclude,3,button-down phrase ; negative hook mention ; negative hook mention,\bbutton[- ]down\b ; \bhooks?\s*:\s*no\b ; \bhooks?\s+no\b
PAT_R2_PLASTIC_CONSERVATIVE,include,33,plastic zip ; plastic zipper ; plastic buckle ; plastic snap ; plastic button ; plastic fastener ; plastic toggle ; plastic stopper ; plastic hardware ; plastic trim ; zip in plastic ; zipper in plastic ; buckle in plastic ; snap in plastic ; button in plastic ; fastener in plastic ; toggle in plastic ; stopper in plastic ; hypoallergenic plastic snap button ; moulded plastic zip ; moulded plastic zipper ; molded plastic zip ; molded plastic zipper ; moulded plastic buckle ; molded plastic buckle ; moulded plastic button ; molded plastic button ; moulded plastic snap ; molded plastic snap ; moulded plastic fastener ; molded plastic fastener ; moulded plastic trim ; molded plastic trim,\bplastic[- ]zip\b ; \bplastic[- ]zipper(?:s)?\b ; \bplastic[- ]buckle(?:s)?\b ; \bplastic[- ]snap(?:s)?\b ; \bplastic[- ]button(?:s)?\b ; \bplastic[- ]fastener(?:s)?\b ; \bplastic[- ]toggle(?:s)?\b ; \bplastic[- ]stopper(?:s)?\b ; \bplastic[- ]hardware\b ; \bplastic[- ]trim\b ; \bzip\s+(?:in\s+)?plastic\b ; \bzipper(?:s)?\s+(?:in\s+)?plastic\b ; \bbuckle(?:s)?\s+(?:in\s+)?plastic\b ; \bsnap(?:s)?\s+(?:in\s+)?plastic\b ; \bbutton(?:s)?\s+(?:in\s+)?plastic\b ; \bfastener(?:s)?\s+(?:in\s+)?plastic\b ; \btoggle(?:s)?\s+(?:in\s+)?plastic\b ; \bstopper(?:s)?\s+(?:in\s+)?plastic\b ; \bhypoallergenic[- ]plastic[- ]snap[- ]button(?:s)?\b ; \bmoulded[- ]plastic[- ]zip\b ; \bmoulded[- ]plastic[- ]zipper(?:s)?\b ; \bmolded[- ]plastic[- ]zip\b ; \bmolded[- ]plastic[- ]zipper(?:s)?\b ; \bmoulded[- ]plastic[- ]buckle(?:s)?\b ; \bmolded[- ]plastic[- ]buckle(?:s)?\b ; \bmoulded[- ]plastic[- ]button(?:s)?\b ; \bmolded[- ]plastic[- ]button(?:s)?\b ; \bmoulded[- ]plastic[- ]snap(?:s)?\b ; \bmolded[- ]plastic[- ]snap(?:s)?\b ; \bmoulded[- ]plastic[- ]fastener(?:s)?\b ; \bmolded[- ]plastic[- ]fastener(?:s)?\b ; \bmoulded[- ]plastic[- ]trim\b ; \bmolded[- ]plastic[- ]trim\b
PAT_R2_PLASTIC_DEFAULT_EXTRA,include,8,polymer zip or zipper ; polymer buckle ; polymer snap ; polymer button ; polymer fastener ; resin button ; resin buckle ; resin fastener,\bpolymer[- ]zip(?:per)?(?:s)?\b ; \bpolymer[- ]buckle(?:s)?\b ; \bpolymer[- ]snap(?:s)?\b ; \bpolymer[- ]button(?:s)?\b ; \bpolymer[- ]fastener(?:s)?\b ; \bresin[- ]button(?:s)?\b ; \bresin[- ]buckle(?:s)?\b ; \bresin[- ]fastener(?:s)?\b
PAT_R2_PLASTIC_EXPANDED_EXTRA,include,3,synthetic button ; synthetic buckle ; synthetic fastener,\bsynthetic[- ]button(?:s)?\b ; \bsynthetic[- ]buckle(?:s)?\b ; \bsynthetic[- ]fastener(?:s)?\b
PAT_R2_PLASTIC_EXCLUDE,exclude,1,button-down phrase,\bbutton[- ]down\b
PAT_R3_MIXED_CONSERVATIVE,include,21,metal and plastic ; mixed hardware ; mixed-material zip ; mixed buckle ; zip ; zipper ; zip-up ; full-zip ; half-zip ; zip fly ; concealed zip ; side zip ; zipped ; buckle ; snap or snap button ; toggle ; boning ; cord lock ; stopper ; collar stay ; collar support,\bmetal[- ]and[- ]plastic\b ; \bmixed[- ]hardware\b ; \bmixed[- ]material[- ]zip\b ; \bmixed[- ]buckle\b ; \bzip\b ; \bzipper(?:s)?\b ; \bzip[- ]up\b ; \bfull[- ]zip\b ; \bhalf[- ]zip\b ; \bzip[- ]fly\b ; \bconcealed[- ]zip\b ; \bside[- ]zip\b ; \bzipped\b ; \bbuckle(?:s)?\b ; \bsnap(?:[- ]button)?(?:s)?\b ; \btoggle(?:s)?\b ; \bboning\b ; \bcord[- ]lock(?:s)?\b ; \bstopper(?:s)?\b ; \bcollar[- ]stay(?:s)?\b ; \bcollar[- ]support(?:s)?\b
PAT_R3_MIXED_DEFAULT_EXTRA,include,1,fastener,\bfastener(?:s)?\b
