row_id,brand,region,parent_product_id,variant_colour,parent_category,detail_category,product_name,surface_ref_component_name,surface_ref_source,surface_ref_dominant_material,r1_metal_hardware_conservative,r2_plastic_hardware_conservative,r3_mixed_hardware_conservative,r4_fabric_attached_trim_conservative,r5_decorative_nontextile_conservative,r6_surface_print_coating_conservative,r7_lining_multilayer_conservative,r7b_hidden_layer_mismatch_conservative,r8_secondary_component_presence_conservative,r8b_secondary_material_difference_conservative,any_removable_disruptor_conservative,any_retained_barrier_conservative,any_disruptor_overall_conservative,r1_metal_hardware_default,r2_plastic_hardware_default,r3_mixed_hardware_default,r4_fabric_attached_trim_default,r5_decorative_nontextile_default,r6_surface_print_coating_default,r7_lining_multilayer_default,r7b_hidden_layer_mismatch_default,r8_secondary_component_presence_default,r8b_secondary_material_difference_default,any_removable_disruptor_default,any_retained_barrier_default,any_disruptor_overall_default,r1_metal_hardware_expanded,r2_plastic_hardware_expanded,r3_mixed_hardware_expanded,r4_fabric_attached_trim_expanded,r5_decorative_nontextile_expanded,r6_surface_print_coating_expanded,r7_lining_multilayer_expanded,r7b_hidden_layer_mismatch_expanded,r8_secondary_component_presence_expanded,r8b_secondary_material_difference_expanded,any_removable_disruptor_expanded,any_retained_barrier_expanded,any_disruptor_overall_expanded
1,uniqlo,uk,483807,BEIGE,tops,outerwear_jacket,Utility Short Jacket,shell,first_surface_component,cotton,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1
2,uniqlo,uk,483807,BLACK,tops,outerwear_jacket,Utility Short Jacket,shell,first_surface_component,cotton,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1
3,uniqlo,uk,483807,KHAKI,tops,outerwear_jacket,Utility Short Jacket,shell,first_surface_component,cotton,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1
4,uniqlo,uk,479208,BEIGE,tops,outerwear_jacket,Zip-Up Short Jacket,body,first_surface_component,cotton,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
5,uniqlo,uk,479208,NATURAL,tops,outerwear_jacket,Zip-Up Short Jacket,body,first_surface_component,cotton,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
6,uniqlo,uk,479208,BLUE,tops,outerwear_jacket,Zip-Up Short Jacket,body,first_surface_component,cotton,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
7,uniqlo,uk,479208,NAVY,tops,outerwear_jacket,Zip-Up Short Jacket,body,first_surface_component,cotton,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
8,uniqlo,uk,484109,DARK GREY,tops,outerwear_jacket,Jersey Relaxed Jacket,body,first_surface_component,cotton,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1
9,uniqlo,uk,484109,OFF WHITE,tops,outerwear_jacket,Jersey Relaxed Jacket,body,first_surface_component,cotton,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1
10,uniqlo,uk,484109,BLACK,tops,outerwear_jacket,Jersey Relaxed Jacket,body,first_surface_component,cotton,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1
11,uniqlo,uk,484109,KHAKI,tops,outerwear_jacket,Jersey Relaxed Jacket,body,first_surface_component,cotton,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1
