rule,setting,match,n
R1,conservative,hook-and-eye,843
R1,conservative,button and hook,519
R1,conservative,hook and eye,446
R1,conservative,metal buttons,418
R1,conservative,metal buckle,94
R1,conservative,metal button,85
R1,conservative,underwire,45
R1,conservative,metal fastener,39
R1,conservative,metal zip,19
R1,conservative,eyelets,18
R1,conservative,metal ring,17
R1,conservative,metal fasteners,13
R1,conservative,eyelet,9
R1,conservative,rivet,8
R1,conservative,rivets,7
R1,conservative,metal buckles,6
R1,conservative,metal hook,6
R1,conservative,button-and-hook,5
R1,conservative,metal zipper,5
R1,conservative,metal clasp,2
R1,conservative,metal press stud,2
R1,conservative,metal press studs,2
R1,conservative,metal snaps,2
R1,conservative,metal hardware,1
R1,conservative,metal press-studs,1
R1,conservative,metal rings,1
R1,default,press-studs,1063
R1,default,hook-and-eye,841
R1,default,hook,732
R1,default,press-stud,548
R1,default,button and hook,518
R1,default,press studs,469
R1,default,hook and eye,445
R1,default,metal buttons,418
R1,default,press stud,353
R1,default,metal buckle,94
R1,default,metal button,85
R1,default,studded,53
R1,default,hooks,45
R1,default,metal fastener,39
R1,default,charm,37
R1,default,underwire,25
R1,default,metal zip,19
R1,default,eyelets,18
R1,default,metal ring,17
R1,default,metal fasteners,13
R1,default,eyelet,9
R1,default,rivet,8
R1,default,rivets,7
R1,default,metal buckles,6
R1,default,metal hook,6
R1,default,button-and-hook,5
R1,default,charms,5
R1,default,metal zipper,5
R1,default,clasp,4
R1,default,studs,4
R1,default,metal clasp,2
R1,default,metal press stud,2
R1,default,metal press studs,2
R1,default,metal snaps,2
R1,default,metal hardware,1
R1,default,metal press-studs,1
R1,default,metal rings,1
R1,expanded,press-studs,1063
R1,expanded,hook-and-eye,841
R1,expanded,hook,732
R1,expanded,press-stud,548
R1,expanded,button and hook,518
R1,expanded,press studs,469
R1,expanded,hook and eye,445
R1,expanded,metal buttons,418
R1,expanded,press stud,353
R1,expanded,metal buckle,94
R1,expanded,metal button,85
R1,expanded,studded,53
R1,expanded,hooks,45
R1,expanded,metal fastener,39
R1,expanded,charm,37
R1,expanded,underwire,25
R1,expanded,ring,20
R1,expanded,metal zip,19
R1,expanded,eyelets,18
R1,expanded,metal ring,17
R1,expanded,rings,16
R1,expanded,metal fasteners,13
R1,expanded,eyelet,9
R1,expanded,rivet,8
R1,expanded,rivets,7
R1,expanded,metal buckles,6
R1,expanded,metal hook,6
R1,expanded,button-and-hook,5
R1,expanded,charms,5
R1,expanded,metal zipper,5
R1,expanded,clasp,4
R1,expanded,studs,4
R1,expanded,metal clasp,2
R1,expanded,metal press stud,2
R1,expanded,metal press studs,2
R1,expanded,metal snaps,2
R1,expanded,metal hardware,1
R1,expanded,metal press-studs,1
R1,expanded,metal rings,1
R2,conservative,plastic snap,68
R2,conservative,plastic fastener,43
R2,conservative,plastic buckles,17
R2,conservative,plastic buckle,8
R2,conservative,plastic fasteners,2
R2,default,plastic snap,68
R2,default,plastic fastener,43
R2,default,plastic buckles,17
R2,default,plastic buckle,8
R2,default,plastic fasteners,2
R2,expanded,plastic snap,68
R2,expanded,plastic fastener,43
R2,expanded,plastic buckles,17
R2,expanded,plastic buckle,8
R2,expanded,plastic fasteners,2
R3,conservative,zip,8589
R3,conservative,buckle,139
R3,conservative,zipped,97
R3,conservative,snap buttons,69
R3,conservative,boning,55
R3,conservative,buckles,27
R3,conservative,zipper,26
R3,conservative,stoppers,22
R3,conservative,snap,19
R3,conservative,snap button,18
R3,conservative,snap-button,10
R3,conservative,stopper,6
R3,conservative,toggle,5
R3,conservative,snaps,2
R3,conservative,zippers,1
R3,default,zip,8589
R3,default,fastener,803
R3,default,fasteners,391
R3,default,buckle,139
R3,default,zipped,97
R3,default,snap buttons,69
R3,default,boning,55
R3,default,buckles,27
R3,default,zipper,26
R3,default,stoppers,22
R3,default,snap,19
R3,default,snap button,18
R3,default,snap-button,10
R3,default,stopper,6
R3,default,toggle,5
R3,default,snaps,2
R3,default,zippers,1
R3,expanded,zip,8576
R3,expanded,buttons,4653
R3,expanded,button,3187
R3,expanded,fastener,803
R3,expanded,fasteners,390
R3,expanded,buckle,137
R3,expanded,zipped,97
R3,expanded,snap buttons,69
R3,expanded,boning,54
R3,expanded,buckles,27
R3,expanded,zipper,26
R3,expanded,stoppers,22
R3,expanded,snap,19
R3,expanded,snap button,18
R3,expanded,snap-button,10
R3,expanded,stopper,6
R3,expanded,toggle,5
R3,expanded,snaps,2
R3,expanded,hardware,1
R3,expanded,zippers,1
R4,conservative,drawstring,4623
R4,conservative,patch,1391
R4,conservative,embroidered,572
R4,conservative,lace,498
R4,conservative,embroidery,245
R4,conservative,lace trim,170
R4,conservative,appliqué,117
R4,conservative,drawstrings,97
R4,conservative,binder_part,90
R4,conservative,cuff,90
R4,conservative,elastic_part,87
R4,conservative,tape,73
R4,conservative,patches,49
R4,conservative,binding,29
R4,conservative,elastic,19
R4,conservative,drawcord,9
R4,conservative,piping,9
R4,conservative,strap,9
R4,conservative,drawcords,3
R4,default,drawstring,4623
R4,default,patch,1391
R4,default,elastic,712
R4,default,embroidered,567
R4,default,lace,498
R4,default,binding,253
R4,default,embroidery,245
R4,default,tape,203
R4,default,piping,188
R4,default,lace trim,169
R4,default,appliqué,117
R4,default,drawstrings,97
R4,default,binder_part,90
R4,default,cuff,90
R4,default,elastic_part,87
R4,default,patches,49
R4,default,ribbon,28
R4,default,ribbons,13
R4,default,drawcord,9
R4,default,strap,9
R4,default,drawcords,3
R4,default,tapes,1
R4,expanded,drawstring,4623
R4,expanded,elasticated,2568
R4,expanded,straps,2209
R4,expanded,patch,1391
R4,expanded,elastic,708
R4,expanded,embroidered,563
R4,expanded,lace,498
R4,expanded,binding,253
R4,expanded,embroidery,245
R4,expanded,tape,203
R4,expanded,strap,195
R4,expanded,piping,188
R4,expanded,lace trim,154
R4,expanded,appliqué,114
R4,expanded,drawstrings,97
R4,expanded,binder_part,90
R4,expanded,cuff,90
R4,expanded,elastic_part,87
R4,expanded,patches,49
R4,expanded,ribbon,27
R4,expanded,fabric trim,16
R4,expanded,ribbons,13
R4,expanded,drawcord,9
R4,expanded,drawcords,3
R4,expanded,contrast trim,2
R4,expanded,tapes,1
R5,conservative,sequined,180
R5,conservative,rhinestone,152
R5,conservative,sequin,106
R5,conservative,pendants,33
