Indicator,Pooled variants - Conservative,Pooled variants - Default,Pooled variants - Expanded,Distinct products - Conservative,Distinct products - Default,Distinct products - Expanded
R1 Metal-specified/conventional hardware,5.498505955136569,12.419510963343294,12.4952653507849,6.775152558285089,15.386220205497313,15.469670891357639
R2 Plastic-specified hardware,0.2903918185261563,0.2903918185261563,0.2903918185261563,0.3233714077087571,0.3233714077087571,0.3233714077087571
R3 Material-ambiguous hardware,19.11746138630529,21.629981903118555,38.09393544042759,21.94753038126532,24.685756011057215,44.145412820111616
R4 Fabric attached trim,17.21308025756492,19.868692395101217,30.29333782248222,18.181818181818183,20.73227976842435,33.192510300944036
R5 Decorative/non-textile attachment,1.1531501199444467,1.9885526703421572,1.9885526703421572,1.7420330673342723,3.0250873624367602,3.0250873624367602
R6 Surface print/coating barrier,1.9864483818021128,3.089095576785489,4.22120281132949,2.2218745110311375,3.4006154488082196,4.7201794189746
R7 Lining/multilayer presence,18.888093935440427,22.978830857287154,24.42026850721771,22.41172482136338,26.08877066708392,27.502216658843164
R7b Hidden-layer mismatch diagnostic,8.60654012878246,8.160430958293,8.160430958293,10.723413133051688,9.977572628175038,9.977572628175038
R8 Secondary-component presence,10.782374479188586,10.782374479188586,11.647237069146922,9.847180931518281,9.847180931518281,10.905961508371147
R8b Secondary-component mismatch diagnostic,6.11085392028955,5.8877993350448214,5.8877993350448214,5.585980284775466,5.439941584519898,5.439941584519898
