metric,metric_label,setting,setting_label,n_distinct_products,n_all_variants_unflagged,n_all_variants_flagged,n_mixed_variant_status,share_mixed_all_products,share_mixed_all_products_percent,n_multi_variant_products,n_mixed_among_multi_variant_products,share_mixed_among_multi_variant_products,share_mixed_among_multi_variant_products_percent
any_removable_disruptor,Any removable-hardware indicator (R1–R3),conservative,Conservative,19173,14462,4693,18,0.0009388202159286497,0.09388202159286496,10466,18,0.0017198547678196063,0.17198547678196063
any_removable_disruptor,Any removable-hardware indicator (R1–R3),default,Default,19173,13215,5880,78,0.004068220935690816,0.40682209356908156,10466,78,0.007452703993884961,0.7452703993884962
any_removable_disruptor,Any removable-hardware indicator (R1–R3),expanded,Expanded,19173,9807,9319,47,0.0024513638971470296,0.24513638971470297,10466,47,0.004490731893751194,0.4490731893751194
any_retained_barrier,Any retained-barrier indicator (R4–R8),conservative,Conservative,19173,10831,8024,318,0.016585823814739477,1.6585823814739478,10466,318,0.030384100898146377,3.038410089814638
any_retained_barrier,Any retained-barrier indicator (R4–R8),default,Default,19173,9906,9002,265,0.01382151984561623,1.382151984561623,10466,265,0.02532008408178865,2.5320084081788647
any_retained_barrier,Any retained-barrier indicator (R4–R8),expanded,Expanded,19173,8261,10440,472,0.0246179523287957,2.4617952328795702,10466,472,0.045098413911714125,4.509841391171412
any_disruptor_overall,Any core disruptor indicator (R1–R8),conservative,Conservative,19173,9041,9935,197,0.010274865696552444,1.0274865696552444,10466,197,0.01882285495891458,1.8822854958914579
any_disruptor_overall,Any core disruptor indicator (R1–R8),default,Default,19173,7872,11140,161,0.008397225264695144,0.8397225264695144,10466,161,0.015383145423275367,1.5383145423275366
any_disruptor_overall,Any core disruptor indicator (R1–R8),expanded,Expanded,19173,4805,14074,294,0.01533406352683461,1.5334063526834611,10466,294,0.028090961207720238,2.8090961207720238
r1_metal_hardware,R1 Metal-specified/conventional hardware,conservative,Conservative,19173,17874,1286,13,0.0006780368226151359,0.06780368226151359,10466,13,0.0012421173323141602,0.12421173323141602
r1_metal_hardware,R1 Metal-specified/conventional hardware,default,Default,19173,16223,2929,21,0.001095290251916758,0.10952902519167579,10466,21,0.002006497229122874,0.20064972291228741
r1_metal_hardware,R1 Metal-specified/conventional hardware,expanded,Expanded,19173,16207,2945,21,0.001095290251916758,0.10952902519167579,10466,21,0.002006497229122874,0.20064972291228741
r2_plastic_hardware,R2 Plastic-specified hardware,conservative,Conservative,19173,19111,58,4,0.00020862671465081103,0.0208626714650811,10466,4,0.00038218994840435696,0.03821899484043569
r2_plastic_hardware,R2 Plastic-specified hardware,default,Default,19173,19111,58,4,0.00020862671465081103,0.0208626714650811,10466,4,0.00038218994840435696,0.03821899484043569
r2_plastic_hardware,R2 Plastic-specified hardware,expanded,Expanded,19173,19111,58,4,0.00020862671465081103,0.0208626714650811,10466,4,0.00038218994840435696,0.03821899484043569
r3_mixed_hardware,R3 Material-ambiguous hardware,conservative,Conservative,19173,14965,4200,8,0.00041725342930162205,0.0417253429301622,10466,8,0.0007643798968087139,0.07643798968087138
r3_mixed_hardware,R3 Material-ambiguous hardware,default,Default,19173,14440,4568,165,0.008605851979345954,0.8605851979345954,10466,165,0.015765335371679724,1.5765335371679723
r3_mixed_hardware,R3 Material-ambiguous hardware,expanded,Expanded,19173,10709,8327,137,0.007145464976790278,0.7145464976790278,10466,137,0.013090005732849226,1.3090005732849226
r4_fabric_attached_trim,R4 Fabric attached trim,conservative,Conservative,19173,15687,3421,65,0.0033901841130756795,0.33901841130756794,10466,65,0.0062105866615708005,0.62105866615708
r4_fabric_attached_trim,R4 Fabric attached trim,default,Default,19173,15198,3887,88,0.004589787722317842,0.45897877223178424,10466,88,0.008408178864895853,0.8408178864895853
r4_fabric_attached_trim,R4 Fabric attached trim,expanded,Expanded,19173,12809,5917,447,0.023314035362228133,2.331403536222813,10466,447,0.04270972673418689,4.270972673418689
r5_decorative_nontextile,R5 Decorative/non-textile attachment,conservative,Conservative,19173,18839,334,0,0.0,0.0,10466,0,0.0,0.0
r5_decorative_nontextile,R5 Decorative/non-textile attachment,default,Default,19173,18593,570,10,0.0005215667866270276,0.052156678662702766,10466,10,0.0009554748710108924,0.09554748710108925
r5_decorative_nontextile,R5 Decorative/non-textile attachment,expanded,Expanded,19173,18593,570,10,0.0005215667866270276,0.052156678662702766,10466,10,0.0009554748710108924,0.09554748710108925
r6_surface_print_coating,R6 Surface print/coating barrier,conservative,Conservative,19173,18747,411,15,0.0007823501799405414,0.07823501799405415,10466,15,0.0014332123065163387,0.14332123065163388
r6_surface_print_coating,R6 Surface print/coating barrier,default,Default,19173,18521,636,16,0.0008345068586032441,0.0834506858603244,10466,16,0.0015287597936174278,0.15287597936174277
r6_surface_print_coating,R6 Surface print/coating barrier,expanded,Expanded,19173,18268,887,18,0.0009388202159286497,0.09388202159286496,10466,18,0.0017198547678196063,0.17198547678196063
r7_lining_multilayer,R7 Lining/multilayer presence,conservative,Conservative,19173,14876,4078,219,0.011422312627131904,1.1422312627131903,10466,219,0.020924899675138543,2.0924899675138544
r7_lining_multilayer,R7 Lining/multilayer presence,default,Default,19173,14171,4870,132,0.0068846815834767644,0.6884681583476765,10466,132,0.01261226829734378,1.2612268297343778
r7_lining_multilayer,R7 Lining/multilayer presence,expanded,Expanded,19173,13900,5144,129,0.0067282115474886555,0.6728211547488655,10466,129,0.012325625836040513,1.2325625836040512
r7b_hidden_layer_mismatch,R7b Hidden-layer mismatch diagnostic,conservative,Conservative,19173,17117,1847,209,0.010900745840504877,1.0900745840504877,10466,209,0.019969424804127653,1.9969424804127653
r7b_hidden_layer_mismatch,R7b Hidden-layer mismatch diagnostic,default,Default,19173,17260,1709,204,0.010639962447191363,1.0639962447191362,10466,204,0.019491687368622206,1.9491687368622206
r7b_hidden_layer_mismatch,R7b Hidden-layer mismatch diagnostic,expanded,Expanded,19173,17260,1709,204,0.010639962447191363,1.0639962447191362,10466,204,0.019491687368622206,1.9491687368622206
r8_secondary_component_presence,R8 Secondary-component presence,conservative,Conservative,19173,17285,1657,231,0.012048192771084338,1.2048192771084338,10466,231,0.022071469520351616,2.2071469520351616
r8_secondary_component_presence,R8 Secondary-component presence,default,Default,19173,17285,1657,231,0.012048192771084338,1.2048192771084338,10466,231,0.022071469520351616,2.2071469520351616
r8_secondary_component_presence,R8 Secondary-component presence,expanded,Expanded,19173,17082,1859,232,0.01210034944974704,1.2100349449747039,10466,232,0.022167017007452702,2.2167017007452703
r8b_secondary_material_difference,R8b Secondary-component mismatch diagnostic,conservative,Conservative,19173,18102,888,183,0.009544672195274604,0.9544672195274604,10466,183,0.01748519013949933,1.748519013949933
r8b_secondary_material_difference,R8b Secondary-component mismatch diagnostic,default,Default,19173,18130,871,172,0.008970948729984874,0.8970948729984874,10466,172,0.01643416778138735,1.643416778138735
r8b_secondary_material_difference,R8b Secondary-component mismatch diagnostic,expanded,Expanded,19173,18130,871,172,0.008970948729984874,0.8970948729984874,10466,172,0.01643416778138735,1.643416778138735
